YEAR,MONTH,total_freight_tons,total_co2e_kg,intl_freight_tons,intl_ratio,date,port_teus,freight_lag1,freight_lag2,freight_roll3,freight_yoy,freight_mom,intl_ratio_lag1,co2e_lag1,co2e_roll3,month_num,port_lag1,port_lag2,port_roll3,port_yoy,high_carbon_risk
2008,1,27357.009000000002,173329848.18623438,27357.009000000002,1.0,2008-01-01,652236.2,28591.192,28166.167,28634.999166666665,0.17227028275028244,-0.043166545836913595,1.0,177123450.55143842,173394861.30997792,1,661402.3,736340.15,711096.2333333334,-0.056919731290539954,0
2008,2,27844.816,179240929.19989982,27844.816,1.0,2008-02-01,613725.7,27357.009000000002,28591.192,28038.122666666666,0.18021354779665444,0.017831152521096127,1.0,173329848.18623438,171529263.46670255,2,652236.2,661402.3,683326.2166666667,-0.054705711112788324,0
2008,3,33939.1315,212171219.35193777,33939.1315,1.0,2008-03-01,583923.0,27844.816,27357.009000000002,27931.005666666664,0.16192159841229659,0.21886714927475204,1.0,179240929.19989982,176564742.64585754,3,613725.7,652236.2,642454.7333333334,-0.07304856350014133,0
2008,4,31825.983,196165411.8802509,31825.983,1.0,2008-04-01,605466.35,33939.1315,27844.816,29713.652166666667,0.17333248244009636,-0.06226289261409068,1.0,212171219.35193777,188247332.24602398,4,583923.0,613725.7,616628.2999999999,-0.10915928580177736,0
2008,5,35334.1665,224867335.05963752,35334.16649999999,0.9999999999999998,2008-05-01,686847.8,31825.983,33939.1315,31203.310166666666,0.18501170492864638,0.11023016948133235,1.0,196165411.8802509,195859186.81069615,5,605466.35,583923.0,601038.35,0.007781222812213828,0
2008,6,36883.265,240156242.4287841,36883.265,1.0,2008-06-01,632280.1,35334.1665,31825.983,33699.76033333333,0.1503107380749915,0.04384137658942655,0.9999999999999998,224867335.05963752,211067988.7639421,6,686847.8,605466.35,625412.3833333334,-0.11713777754816157,0
2008,7,32000.4795,207407353.17986226,32000.4795,1.0,2008-07-01,698159.3,36883.265,35334.1665,34681.13816666667,0.09020645253890547,-0.1323848498770377,1.0,240156242.4287841,220396329.78955755,7,632280.1,686847.8,641531.4166666666,-0.025351958916650874,0
2008,8,29268.649,190440463.6299886,29268.648999999998,0.9999999999999999,2008-08-01,757068.85,32000.4795,36883.265,34739.30366666667,-0.0440167950517959,-0.08536842393252264,1.0,207407353.17986226,224143643.55609465,8,698159.3,632280.1,672429.0666666668,0.059266888873280354,0
2008,9,27616.5695,180200808.0958742,27616.569499999998,0.9999999999999999,2008-09-01,692889.9,29268.649,32000.4795,32717.464500000002,-0.0650363879582243,-0.05644536240808384,0.9999999999999999,190440463.6299886,212668019.74621165,9,757068.85,698159.3,695836.0833333334,-0.06689475041528437,0
2008,10,27106.408,174110127.83548015,27106.408,1.0,2008-10-01,706308.25,27616.5695,29268.649,29628.566000000003,-0.07003073336455723,-0.018473022147084683,0.9999999999999999,180200808.0958742,192682874.968575,10,692889.9,757068.85,716039.35,-0.03975004970795515,0
